"","Cd4.T.cm","Cd4.T.naive-like","Cd4.T.Th1.prolif.","Cd4.T.Th1","Cd4.T.Th17","Treg.prolif.","Treg","gene"
"Il10",0.920039122507289,1,2.32899439581994e-10,0.941183669777878,0.253346558413386,0.655972694043598,5.55973534315249e-05,"Il10"
"Il13",0.00538323896358532,1,0.914120275025851,0.000113320375572067,1,1,0.182641271501066,"Il13"
"Il1rn",1,1,0.267807804154295,0.340199370754309,1,0.744200273245579,0.000163673187318371,"Il1rn"
"Il22",1,1,0.366831034866369,9.33951750573458e-25,1.10717509779188e-08,1,1,"Il22"
